name,brand,price,old_price,discount,rating,reviews,popularity
"Lasting Fix Makeup Setting Spray, Matte Finish","Lasting Fix Makeup Setting Spray, Matte Finish",1376,2220,38,0.0,0,18.31
"Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Topaz","Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Topaz",781,1250,38,0.0,0,18.61
Volume Express Colossal 100% Black Mascara,Volume Express Colossal 100% Black Mascara,788,1050,25,0.0,0,12.11
Fit Me Hydrating Primer Luminous And Smooth,Fit Me Hydrating Primer Luminous And Smooth,825,1475,44,0.0,0,21.59
Superstay Skin Tint Shade  63 With Vitamin C,Superstay Skin Tint Shade  63 With Vitamin C,1543,2500,38,0.0,0,18.23
"Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Ice","Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Ice",1250,0,0,0.0,0,-0.62
Fit Me Powder 350 Caramel,Fit Me Powder 350 Caramel,1185,1420,17,0.0,0,7.91
Superstay Skin Tint Shade  67 With Vitamin C,Superstay Skin Tint Shade  67 With Vitamin C,1543,2500,38,0.0,0,18.23
Superstay Skin Tint Shade  77 With Vitamin C,Superstay Skin Tint Shade  77 With Vitamin C,1750,2500,30,0.0,0,14.12
Superstay Skin  Tint Shade 66 With Vitamin C,Superstay Skin  Tint Shade 66 With Vitamin C,1750,2500,30,0.0,0,14.12
"Lasting Fix Makeup Setting Spray, Matte Finish","Lasting Fix Makeup Setting Spray, Matte Finish",1376,2220,38,0.0,0,18.31
"Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Topaz","Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Topaz",781,1250,38,0.0,0,18.61
Volume Express Colossal 100% Black Mascara,Volume Express Colossal 100% Black Mascara,788,1050,25,0.0,0,12.11
Fit Me Hydrating Primer Luminous And Smooth,Fit Me Hydrating Primer Luminous And Smooth,825,1475,44,0.0,0,21.59
Superstay Skin Tint Shade  63 With Vitamin C,Superstay Skin Tint Shade  63 With Vitamin C,1543,2500,38,0.0,0,18.23
"Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Ice","Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Ice",1250,0,0,0.0,0,-0.62
Fit Me Powder 350 Caramel,Fit Me Powder 350 Caramel,1185,1420,17,0.0,0,7.91
Superstay Skin Tint Shade  67 With Vitamin C,Superstay Skin Tint Shade  67 With Vitamin C,1543,2500,38,0.0,0,18.23
Superstay Skin Tint Shade  77 With Vitamin C,Superstay Skin Tint Shade  77 With Vitamin C,1750,2500,30,0.0,0,14.12
Superstay Skin  Tint Shade 66 With Vitamin C,Superstay Skin  Tint Shade 66 With Vitamin C,1750,2500,30,0.0,0,14.12
"Lasting Fix Makeup Setting Spray, Matte Finish","Lasting Fix Makeup Setting Spray, Matte Finish",1376,2220,38,0.0,0,18.31
"Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Topaz","Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Topaz",781,1250,38,0.0,0,18.61
Volume Express Colossal 100% Black Mascara,Volume Express Colossal 100% Black Mascara,788,1050,25,0.0,0,12.11
Fit Me Hydrating Primer Luminous And Smooth,Fit Me Hydrating Primer Luminous And Smooth,825,1475,44,0.0,0,21.59
Superstay Skin Tint Shade  63 With Vitamin C,Superstay Skin Tint Shade  63 With Vitamin C,1543,2500,38,0.0,0,18.23
"Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Ice","Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Ice",1250,0,0,0.0,0,-0.62
Fit Me Powder 350 Caramel,Fit Me Powder 350 Caramel,1185,1420,17,0.0,0,7.91
Superstay Skin Tint Shade  67 With Vitamin C,Superstay Skin Tint Shade  67 With Vitamin C,1543,2500,38,0.0,0,18.23
Superstay Skin Tint Shade  77 With Vitamin C,Superstay Skin Tint Shade  77 With Vitamin C,1750,2500,30,0.0,0,14.12
Superstay Skin  Tint Shade 66 With Vitamin C,Superstay Skin  Tint Shade 66 With Vitamin C,1750,2500,30,0.0,0,14.12
"Lasting Fix Makeup Setting Spray, Matte Finish","Lasting Fix Makeup Setting Spray, Matte Finish",1376,2220,38,0.0,0,18.31
"Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Topaz","Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Topaz",781,1250,38,0.0,0,18.61
Volume Express Colossal 100% Black Mascara,Volume Express Colossal 100% Black Mascara,788,1050,25,0.0,0,12.11
Fit Me Hydrating Primer Luminous And Smooth,Fit Me Hydrating Primer Luminous And Smooth,825,1475,44,0.0,0,21.59
Superstay Skin Tint Shade  63 With Vitamin C,Superstay Skin Tint Shade  63 With Vitamin C,1543,2500,38,0.0,0,18.23
"Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Ice","Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Ice",1250,0,0,0.0,0,-0.62
Fit Me Powder 350 Caramel,Fit Me Powder 350 Caramel,1185,1420,17,0.0,0,7.91
Superstay Skin Tint Shade  67 With Vitamin C,Superstay Skin Tint Shade  67 With Vitamin C,1543,2500,38,0.0,0,18.23
Superstay Skin Tint Shade  77 With Vitamin C,Superstay Skin Tint Shade  77 With Vitamin C,1750,2500,30,0.0,0,14.12
Superstay Skin  Tint Shade 66 With Vitamin C,Superstay Skin  Tint Shade 66 With Vitamin C,1750,2500,30,0.0,0,14.12
